"","X","age","voted","party","registered","method_vote"
"491",491,53,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"492",492,41,"yes","Republican","Yes","Voted by mail or absentee"
"493",493,67,"yes","Democrat","Yes","In person on election day"
"494",494,52,"yes","Independent","Yes","Voted by mail or absentee"
"495",495,65,"yes","Republican","Yes","In person on election day"
"496",496,68,"yes","Republican","Yes","Voted by mail or absentee"
"497",497,69,"yes","Democrat","Yes","Voted by mail or absentee"
"498",498,66,"yes","Independent","Yes","Voted by mail or absentee"
"499",499,63,"yes","Republican","Yes","In person on election day"
"500",500,57,"yes","Independent","Yes","In person early"
"501",501,67,"yes","Democrat","Yes","Voted by mail or absentee"
"502",502,52,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"503",503,61,"yes","Democrat","Yes","In person on election day"
"504",504,70,"yes","Democrat","Yes","In person on election day"
"505",505,76,"yes","Democrat","Yes","Voted by mail or absentee"
"506",506,60,"no","NAorMissing","No","Dontknow_skipped_notasked"
"507",507,65,"yes","Democrat","Yes","In person early"
"508",508,53,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"509",509,71,"yes","Democrat","Yes","In person on election day"
"510",510,40,"yes","Democrat","Yes","Voted by mail or absentee"
"511",511,39,"yes","Independent","Yes","In person on election day"
"512",512,67,"yes","Democrat","Yes","Voted by mail or absentee"
"513",513,68,"yes","Democrat","Yes","Voted by mail or absentee"
"514",514,66,"yes","Republican","Yes","In person early"
"515",515,64,"yes","Democrat","Yes","Voted by mail or absentee"
"516",516,59,"yes","Independent","Yes","In person on election day"
"517",517,38,"yes","Democrat","Yes","Voted by mail or absentee"
"518",518,75,"yes","Independent","Yes","Voted by mail or absentee"
"519",519,62,"yes","Republican","Yes","Voted by mail or absentee"
"520",520,57,"yes","Democrat","Yes","In person on election day"
"521",521,67,"yes","Independent","Yes","In person on election day"
"522",522,59,"yes","Democrat","Yes","In person on election day"
"523",523,70,"yes","Democrat","Yes","Voted by mail or absentee"
"524",524,52,"yes","Democrat","Yes","In person early"
"525",525,65,"yes","Independent","Yes","In person early"
"526",526,67,"yes","Republican","Yes","Voted by mail or absentee"
"527",527,75,"yes","Independent","Yes","In person on election day"
"528",528,64,"yes","Independent","Yes","Voted by mail or absentee"
"529",529,62,"yes","Independent","Yes","In person on election day"
"530",530,66,"yes","Republican","Yes","In person early"
"531",531,61,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"532",532,69,"yes","Democrat","Yes","Voted by mail or absentee"
"533",533,58,"yes","Republican","Yes","In person on election day"
"534",534,69,"yes","Independent","Yes","Voted by mail or absentee"
"535",535,69,"no","Democrat","Yes","Dontknow_skipped_notasked"
"536",536,56,"yes","Republican","Yes","In person on election day"
"537",537,49,"yes","Democrat","Yes","In person on election day"
"538",538,62,"yes","Democrat","Yes","Voted by mail or absentee"
"539",539,67,"yes","Democrat","Yes","In person early"
"540",540,76,"yes","Republican","Yes","Voted by mail or absentee"
"541",541,39,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"542",542,28,"yes","Independent","Yes","Voted by mail or absentee"
"543",543,28,"yes","Democrat","Yes","Voted by mail or absentee"
"544",544,52,"yes","Independent","Yes","In person on election day"
"545",545,66,"yes","Republican","Yes","In person on election day"
"546",546,71,"yes","Democrat","Yes","Voted by mail or absentee"
"547",547,67,"yes","Democrat","Yes","In person on election day"
"548",548,68,"yes","Democrat","Yes","In person early"
"549",549,61,"yes","Democrat","Yes","In person on election day"
"550",550,64,"yes","Democrat","Yes","In person early"
"551",551,61,"yes","Democrat","Yes","In person on election day"
"552",552,52,"yes","Democrat","Yes","Voted by mail or absentee"
"553",553,52,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"554",554,67,"yes","Republican","Yes","In person on election day"
"555",555,39,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"556",556,63,"yes","Republican","Yes","In person on election day"
"557",557,79,"yes","Democrat","Yes","In person on election day"
"558",558,60,"yes","Other","Yes","In person on election day"
"559",559,56,"yes","Republican","Yes","In person early"
"560",560,63,"yes","Independent","Yes","Voted by mail or absentee"
"561",561,28,"yes","Independent","Yes","In person on election day"
"562",562,56,"no","Democrat","Yes","Dontknow_skipped_notasked"
"563",563,60,"yes","Republican","Yes","Voted by mail or absentee"
"564",564,38,"yes","Independent","Yes","Voted by mail or absentee"
"565",565,66,"yes","Republican","Yes","In person on election day"
"566",566,66,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"567",567,53,"yes","Democrat","Yes","In person on election day"
"568",568,69,"yes","Democrat","Yes","Voted by mail or absentee"
"569",569,54,"yes","Independent","Yes","In person on election day"
"570",570,66,"no","NAorMissing","No","Voted by mail or absentee"
"571",571,78,"yes","Republican","Yes","In person on election day"
"572",572,74,"yes","Democrat","Yes","Voted by mail or absentee"
"573",573,52,"yes","Republican","Yes","In person early"
"574",574,44,"yes","Republican","Yes","In person on election day"
"575",575,67,"yes","Democrat","Yes","In person on election day"
"576",576,50,"yes","Democrat","Yes","In person on election day"
"577",577,50,"yes","Democrat","Yes","In person on election day"
"578",578,61,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"579",579,57,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"580",580,58,"yes","Democrat","Yes","Voted by mail or absentee"
"581",581,67,"yes","Republican","Yes","In person on election day"
"582",582,69,"yes","Independent","Yes","In person on election day"
"583",583,63,"yes","Independent","Yes","In person on election day"
"584",584,67,"yes","Republican","Yes","In person on election day"
"585",585,29,"yes","Republican","Yes","In person on election day"
"586",586,73,"yes","Republican","Yes","Voted by mail or absentee"
"587",587,52,"yes","Independent","Yes","In person on election day"
"588",588,50,"yes","Democrat","Yes","In person on election day"
"589",589,44,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"590",590,38,"yes","Democrat","Yes","In person on election day"
"591",591,62,"yes","Republican","Yes","In person on election day"
"592",592,60,"yes","Democrat","Yes","In person on election day"
"593",593,63,"yes","Independent","Yes","In person on election day"
"594",594,65,"yes","Independent","Yes","In person on election day"
"595",595,65,"yes","Republican","Yes","In person early"
"596",596,62,"yes","Democrat","Yes","In person on election day"
"597",597,28,"yes","Democrat","Yes","In person on election day"
"598",598,64,"yes","Democrat","Yes","In person early"
"599",599,51,"yes","Democrat","Yes","Voted by mail or absentee"
"600",600,77,"yes","Republican","Yes","In person on election day"
"601",601,53,"yes","Democrat","Yes","Voted by mail or absentee"
"602",602,62,"yes","Democrat","Yes","Voted by mail or absentee"
"603",603,63,"yes","Democrat","Yes","In person on election day"
"604",604,58,"yes","Democrat","Yes","Voted by mail or absentee"
"605",605,42,"yes","Independent","Yes","In person on election day"
"606",606,64,"yes","Democrat","Yes","In person on election day"
"607",607,48,"NAorMissing","NAorMissing","Yes","Dontknow_skipped_notasked"
"608",608,44,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"609",609,59,"yes","Republican","Yes","In person early"
"610",610,62,"yes","Democrat","Yes","In person early"
"611",611,57,"yes","Democrat","Yes","In person early"
"612",612,54,"no","Democrat","Yes","Dontknow_skipped_notasked"
"613",613,60,"yes","Democrat","Yes","In person on election day"
"614",614,61,"yes","Democrat","Yes","In person on election day"
"615",615,47,"yes","Democrat","Yes","Voted by mail or absentee"
"616",616,57,"yes","Republican","Yes","In person early"
"617",617,72,"yes","Independent","Yes","In person early"
"618",618,64,"yes","Republican","Yes","In person early"
"619",619,47,"yes","Independent","Yes","In person on election day"
"620",620,65,"yes","Independent","Yes","In person on election day"
"621",621,41,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"622",622,70,"yes","Republican","Yes","In person on election day"
"623",623,60,"yes","Republican","Yes","In person on election day"
"624",624,68,"yes","Democrat","Yes","In person early"
"625",625,57,"yes","Republican","Yes","In person on election day"
"626",626,79,"yes","Independent","Yes","Voted by mail or absentee"
"627",627,77,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"628",628,61,"yes","Independent","Yes","Voted by mail or absentee"
"629",629,54,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"630",630,71,"yes","Republican","Yes","In person on election day"
"631",631,69,"yes","Democrat","Yes","In person on election day"
"632",632,67,"yes","Independent","Yes","Voted by mail or absentee"
"633",633,66,"yes","Republican","Yes","In person on election day"
"634",634,68,"yes","Republican","Yes","In person on election day"
"635",635,51,"yes","Independent","Yes","In person on election day"
"636",636,33,"yes","Democrat","Yes","Voted by mail or absentee"
"637",637,37,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"638",638,49,"no","Democrat","Yes","Dontknow_skipped_notasked"
"639",639,65,"yes","Independent","Yes","In person early"
"640",640,61,"no","Republican","Yes","Dontknow_skipped_notasked"
"641",641,65,"yes","Republican","Yes","In person on election day"
"642",642,56,"yes","Republican","Yes","In person on election day"
"643",643,70,"yes","Democrat","Yes","Voted by mail or absentee"
"644",644,55,"yes","Democrat","Yes","Voted by mail or absentee"
"645",645,69,"yes","Republican","Yes","In person on election day"
"646",646,30,"no","Democrat","Yes","Dontknow_skipped_notasked"
"647",647,66,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"648",648,47,"yes","Democrat","Yes","In person on election day"
"649",649,49,"yes","Independent","Yes","Voted by mail or absentee"
"650",650,60,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"651",651,61,"yes","Republican","Yes","In person on election day"
"652",652,63,"yes","Democrat","Yes","Voted by mail or absentee"
"653",653,42,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"654",654,40,"yes","Republican","Yes","Voted by mail or absentee"
"655",655,60,"no","Democrat","Yes","Dontknow_skipped_notasked"
"656",656,47,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"657",657,67,"yes","Democrat","Yes","In person early"
"658",658,59,"yes","Democrat","Yes","In person early"
"659",659,57,"yes","Democrat","Yes","In person on election day"
"660",660,53,"yes","Republican","Yes","In person on election day"
"661",661,49,"yes","Republican","Yes","Voted by mail or absentee"
"662",662,48,"yes","Democrat","Yes","In person on election day"
"663",663,66,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"664",664,55,"yes","Republican","Yes","In person on election day"
"665",665,39,"yes","Independent","Yes","In person on election day"
"666",666,57,"yes","Republican","Yes","In person on election day"
"667",667,49,"yes","Independent","Yes","In person on election day"
"668",668,53,"yes","Independent","Yes","In person on election day"
"669",669,28,"yes","Democrat","Yes","In person on election day"
"670",670,47,"yes","NAorMissing","No","In person on election day"
"671",671,31,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"672",672,67,"yes","Independent","Yes","In person on election day"
"673",673,47,"yes","NAorMissing","No","In person on election day"
"674",674,49,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"675",675,85,"yes","Republican","Yes","In person on election day"
"676",676,53,"yes","Republican","Yes","In person on election day"
"677",677,59,"yes","Republican","Yes","In person on election day"
"678",678,56,"no","NAorMissing","No","Dontknow_skipped_notasked"
"679",679,65,"yes","Democrat","Yes","In person early"
"680",680,62,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"681",681,62,"yes","Republican","Yes","In person early"
"682",682,46,"yes","Independent","Yes","In person on election day"
"683",683,72,"yes","Republican","Yes","Voted by mail or absentee"
"684",684,62,"yes","Republican","Yes","Voted by mail or absentee"
"685",685,47,"yes","Democrat","Yes","In person early"
"686",686,39,"yes","Democrat","Yes","In person on election day"
"687",687,60,"yes","Democrat","Yes","In person early"
"688",688,57,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"689",689,62,"yes","Republican","Yes","In person early"
"690",690,48,"yes","Republican","Yes","In person on election day"
"691",691,45,"yes","Democrat","Yes","In person on election day"
"692",692,78,"yes","Republican","Yes","In person on election day"
"693",693,33,"no","Republican","Yes","Dontknow_skipped_notasked"
"694",694,29,"yes","Independent","Yes","In person on election day"
"695",695,66,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"696",696,70,"yes","Democrat","Yes","In person early"
"697",697,60,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"698",698,67,"yes","Democrat","Yes","Voted by mail or absentee"
"699",699,81,"yes","Republican","Yes","In person early"
"700",700,56,"yes","Democrat","Yes","Voted by mail or absentee"
"701",701,67,"yes","Republican","Yes","In person on election day"
"702",702,66,"no","Democrat","Yes","Dontknow_skipped_notasked"
"703",703,62,"yes","Republican","Yes","In person on election day"
"704",704,56,"yes","Democrat","Yes","Voted by mail or absentee"
"705",705,59,"yes","Independent","Yes","In person early"
"706",706,70,"yes","Republican","Yes","In person on election day"
"707",707,63,"yes","Republican","Yes","In person on election day"
"708",708,61,"yes","Republican","Yes","In person early"
"709",709,36,"yes","Democrat","Yes","Voted by mail or absentee"
"710",710,38,"yes","Independent","Yes","Voted by mail or absentee"
"711",711,45,"yes","Independent","Yes","In person on election day"
"712",712,52,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"713",713,58,"yes","Democrat","Yes","Voted by mail or absentee"
"714",714,50,"yes","Democrat","Yes","In person early"
"715",715,70,"yes","Democrat","Yes","Voted by mail or absentee"
"716",716,62,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"717",717,45,"yes","Independent","Yes","Voted by mail or absentee"
"718",718,66,"yes","Democrat","Yes","In person early"
"719",719,69,"yes","Republican","Yes","Voted by mail or absentee"
"720",720,71,"yes","Independent","Yes","In person on election day"
"721",721,39,"yes","Independent","Yes","In person on election day"
"722",722,79,"yes","Independent","Yes","In person on election day"
"723",723,67,"yes","Republican","Yes","Voted by mail or absentee"
"724",724,90,"yes","Independent","Yes","Voted by mail or absentee"
"725",725,75,"yes","Democrat","Yes","In person on election day"
"726",726,60,"yes","Republican","Yes","In person on election day"
"727",727,69,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"728",728,55,"yes","Republican","Yes","In person early"
"729",729,52,"no","Democrat","Yes","Dontknow_skipped_notasked"
"730",730,70,"yes","Republican","Yes","Voted by mail or absentee"
"731",731,82,"yes","Democrat","Yes","Voted by mail or absentee"
"732",732,80,"yes","Republican","Yes","In person on election day"
"733",733,60,"yes","Republican","Yes","In person on election day"
"734",734,68,"yes","Republican","Yes","In person on election day"
"735",735,79,"yes","Republican","Yes","Voted by mail or absentee"
"736",736,63,"yes","Independent","Yes","In person on election day"
"737",737,49,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"738",738,72,"yes","Republican","Yes","Voted by mail or absentee"
"739",739,64,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"740",740,78,"yes","Republican","Yes","Voted by mail or absentee"
"741",741,61,"yes","Democrat","Yes","In person on election day"
"742",742,74,"yes","Republican","Yes","In person on election day"
"743",743,68,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"744",744,38,"yes","Republican","Yes","In person on election day"
"745",745,53,"yes","Republican","Yes","In person on election day"
"746",746,67,"yes","Democrat","Yes","In person early"
"747",747,73,"yes","Republican","Yes","In person on election day"
"748",748,80,"yes","Republican","Yes","Voted by mail or absentee"
"749",749,70,"yes","Republican","Yes","Voted by mail or absentee"
"750",750,77,"yes","Independent","Yes","Voted by mail or absentee"
"751",751,57,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"752",752,52,"yes","Democrat","Yes","Voted by mail or absentee"
"753",753,92,"yes","Republican","Yes","In person early"
"754",754,65,"yes","Independent","Yes","Voted by mail or absentee"
"755",755,33,"yes","Republican","Yes","In person on election day"
"756",756,76,"yes","Republican","Yes","Voted by mail or absentee"
"757",757,38,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"758",758,41,"yes","Democrat","Yes","In person on election day"
"759",759,63,"yes","Democrat","Yes","In person on election day"
"760",760,52,"yes","Republican","Yes","In person on election day"
"761",761,67,"yes","Republican","Yes","In person on election day"
"762",762,70,"yes","Democrat","Yes","Voted by mail or absentee"
"763",763,57,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"764",764,75,"yes","Democrat","Yes","Voted by mail or absentee"
"765",765,65,"yes","Democrat","Yes","Voted by mail or absentee"
"766",766,53,"yes","Independent","Yes","In person on election day"
"767",767,41,"yes","Independent","Yes","In person on election day"
"768",768,33,"yes","Independent","Yes","In person on election day"
"769",769,63,"yes","Democrat","Yes","Voted by mail or absentee"
"770",770,49,"yes","Democrat","Yes","In person on election day"
"771",771,28,"yes","Democrat","Yes","In person on election day"
"772",772,73,"yes","Republican","Yes","In person on election day"
"773",773,30,"yes","Republican","Yes","In person on election day"
"774",774,52,"yes","Democrat","Yes","In person on election day"
"775",775,42,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"776",776,32,"yes","Democrat","Yes","In person on election day"
"777",777,65,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"778",778,47,"yes","Democrat","Yes","In person on election day"
"779",779,27,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"780",780,25,"yes","Independent","Yes","Voted by mail or absentee"
"781",781,80,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"782",782,67,"yes","Independent","Yes","In person early"
"783",783,49,"yes","Democrat","Yes","In person early"
"784",784,62,"yes","Independent","Yes","Voted by mail or absentee"
"785",785,32,"yes","Independent","Yes","In person on election day"
"786",786,53,"yes","Independent","Yes","In person on election day"
"787",787,53,"yes","Democrat","Yes","Voted by mail or absentee"
"788",788,48,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"789",789,30,"yes","Democrat","Yes","In person on election day"
"790",790,68,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"791",791,47,"yes","Democrat","Yes","In person on election day"
"792",792,67,"yes","Democrat","Yes","In person on election day"
"793",793,23,"yes","Republican","Yes","In person early"
"794",794,61,"no","Republican","Yes","Dontknow_skipped_notasked"
"795",795,38,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"796",796,69,"yes","Republican","Yes","In person on election day"
"797",797,81,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"798",798,23,"yes","Republican","Yes","Voted by mail or absentee"
"799",799,49,"yes","Independent","Yes","Voted by mail or absentee"
"800",800,71,"yes","Democrat","Yes","In person early"
"801",801,68,"yes","Democrat","Yes","In person on election day"
"802",802,44,"yes","Independent","Yes","In person on election day"
"803",803,68,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"804",804,73,"yes","Republican","Yes","Voted by mail or absentee"
"805",805,58,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"806",806,42,"yes","Democrat","Yes","In person on election day"
"807",807,39,"yes","Democrat","Yes","In person early"
"808",808,52,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"809",809,28,"yes","Democrat","Yes","In person on election day"
"810",810,48,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"811",811,49,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"812",812,30,"yes","Democrat","Yes","Voted by mail or absentee"
"813",813,67,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"814",814,30,"yes","Democrat","Yes","Voted by mail or absentee"
"815",815,29,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"816",816,80,"yes","Independent","Yes","Voted by mail or absentee"
"817",817,53,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"818",818,27,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"819",819,57,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"820",820,62,"yes","Democrat","Yes","In person on election day"
"821",821,26,"yes","Independent","Yes","In person on election day"
"822",822,38,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"823",823,27,"yes","Republican","Yes","In person on election day"
"824",824,44,"yes","Democrat","Yes","In person on election day"
"825",825,71,"yes","Independent","Yes","In person on election day"
"826",826,73,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"827",827,41,"yes","Republican","Yes","In person on election day"
"828",828,76,"yes","Democrat","Yes","Voted by mail or absentee"
"829",829,68,"yes","Independent","Yes","In person on election day"
"830",830,72,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"831",831,34,"no","Independent","Yes","Dontknow_skipped_notasked"
"832",832,70,"yes","Republican","Yes","Voted by mail or absentee"
"833",833,63,"yes","Republican","Yes","In person on election day"
"834",834,69,"no","Democrat","Yes","Dontknow_skipped_notasked"
"835",835,79,"yes","NAorMissing","Yes","In person on election day"
"836",836,75,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"837",837,60,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"838",838,33,"yes","Independent","Yes","In person early"
"839",839,82,"yes","Republican","Yes","In person early"
"840",840,61,"yes","Democrat","Yes","In person on election day"
"841",841,69,"yes","Republican","Yes","In person on election day"
"842",842,67,"yes","Democrat","Yes","In person on election day"
"843",843,40,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"844",844,71,"yes","Democrat","Yes","In person on election day"
"845",845,65,"yes","Democrat","Yes","In person on election day"
"846",846,89,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"847",847,71,"yes","Independent","Yes","Voted by mail or absentee"
"848",848,49,"yes","Democrat","Yes","In person on election day"
"849",849,73,"yes","Democrat","Yes","Voted by mail or absentee"
"850",850,79,"yes","Republican","Yes","In person on election day"
"851",851,66,"yes","Independent","Yes","In person on election day"
"852",852,72,"yes","Republican","Yes","In person on election day"
"853",853,73,"yes","Republican","Yes","Voted by mail or absentee"
"854",854,54,"yes","Democrat","Yes","In person on election day"
"855",855,83,"yes","Democrat","Yes","Voted by mail or absentee"
"856",856,49,"NAorMissing","NAorMissing","DontKnow","Dontknow_skipped_notasked"
"857",857,76,"no","Republican","Yes","Dontknow_skipped_notasked"
"858",858,40,"yes","Democrat","Yes","In person on election day"
"859",859,70,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"860",860,71,"yes","Republican","Yes","In person on election day"
"861",861,75,"yes","Democrat","Yes","In person on election day"
"862",862,58,"no","Democrat","Yes","Dontknow_skipped_notasked"
"863",863,76,"yes","Democrat","Yes","In person early"
"864",864,30,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"865",865,57,"yes","Independent","Yes","In person on election day"
"866",866,71,"yes","Independent","Yes","Voted by mail or absentee"
"867",867,89,"yes","Democrat","Yes","Voted by mail or absentee"
"868",868,43,"yes","Independent","Yes","In person on election day"
"869",869,42,"yes","Democrat","Yes","In person on election day"
"870",870,55,"yes","Democrat","Yes","In person early"
"871",871,40,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"872",872,74,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"873",873,66,"yes","Independent","Yes","Voted by mail or absentee"
"874",874,35,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"875",875,63,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"876",876,70,"yes","Republican","Yes","In person on election day"
"877",877,78,"yes","Independent","Yes","In person early"
"878",878,46,"yes","Independent","Yes","In person on election day"
"879",879,38,"yes","Republican","Yes","In person on election day"
"880",880,69,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"881",881,72,"yes","Independent","Yes","In person on election day"
"882",882,49,"yes","Republican","Yes","In person on election day"
"883",883,76,"yes","Democrat","Yes","In person early"
"884",884,70,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"885",885,70,"yes","Democrat","Yes","In person on election day"
"886",886,61,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"887",887,65,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"888",888,82,"yes","Republican","Yes","Voted by mail or absentee"
"889",889,70,"yes","Republican","Yes","In person on election day"
"890",890,34,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"891",891,65,"yes","Independent","Yes","Voted by mail or absentee"
"892",892,73,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"893",893,77,"yes","Democrat","Yes","Voted by mail or absentee"
"894",894,56,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"895",895,66,"yes","Democrat","Yes","In person on election day"
"896",896,65,"yes","Democrat","Yes","Voted by mail or absentee"
"897",897,31,"yes","Democrat","Yes","In person on election day"
"898",898,64,"yes","Democrat","Yes","In person on election day"
"899",899,65,"yes","Republican","Yes","In person on election day"
"900",900,70,"no","Other","Yes","Dontknow_skipped_notasked"
"901",901,54,"yes","Independent","Yes","In person on election day"
"902",902,47,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"903",903,39,"yes","Democrat","Yes","In person on election day"
"904",904,46,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"905",905,45,"yes","Republican","Yes","Voted by mail or absentee"
"906",906,52,"yes","Republican","Yes","In person on election day"
"907",907,35,"no","Democrat","Yes","Dontknow_skipped_notasked"
"908",908,78,"yes","Democrat","Yes","Voted by mail or absentee"
"909",909,63,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"910",910,31,"yes","Independent","Yes","In person on election day"
"911",911,59,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"912",912,65,"yes","Republican","Yes","In person on election day"
"913",913,54,"yes","Democrat","Yes","In person on election day"
"914",914,75,"yes","Republican","Yes","Voted by mail or absentee"
"915",915,51,"yes","Democrat","Yes","In person on election day"
"916",916,61,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"917",917,59,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"918",918,65,"yes","Democrat","Yes","Voted by mail or absentee"
"919",919,72,"yes","Republican","Yes","In person on election day"
"920",920,41,"NAorMissing","Independent","Yes","Dontknow_skipped_notasked"
"921",921,70,"yes","Republican","Yes","In person on election day"
"922",922,71,"yes","Independent","Yes","Voted by mail or absentee"
"923",923,57,"yes","Democrat","Yes","In person early"
"924",924,71,"no","Independent","Yes","Dontknow_skipped_notasked"
"925",925,59,"yes","Independent","Yes","In person on election day"
"926",926,64,"yes","Independent","Yes","Voted by mail or absentee"
"927",927,48,"yes","Republican","Yes","In person on election day"
"928",928,27,"yes","Republican","Yes","Voted by mail or absentee"
"929",929,60,"yes","Democrat","Yes","In person on election day"
"930",930,31,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"931",931,71,"yes","Republican","Yes","Voted by mail or absentee"
"932",932,58,"yes","Democrat","Yes","Voted by mail or absentee"
"933",933,71,"yes","Independent","Yes","In person on election day"
"934",934,61,"yes","Republican","Yes","In person early"
"935",935,28,"yes","Independent","Yes","Voted by mail or absentee"
"936",936,27,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"937",937,77,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"938",938,23,"yes","Independent","Yes","In person on election day"
"939",939,72,"yes","Democrat","Yes","Voted by mail or absentee"
"940",940,57,"yes","Republican","Yes","In person on election day"
"941",941,81,"yes","Democrat","Yes","In person early"
"942",942,42,"NAorMissing","NAorMissing","No","Dontknow_skipped_notasked"
"943",943,50,"NAorMissing","Republican","Yes","Dontknow_skipped_notasked"
"944",944,68,"yes","Democrat","Yes","In person on election day"
"945",945,29,"yes","Democrat","Yes","In person on election day"
"946",946,77,"yes","Independent","Yes","Voted by mail or absentee"
"947",947,59,"yes","Democrat","Yes","Voted by mail or absentee"
"948",948,45,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"949",949,77,"yes","Republican","Yes","In person early"
"950",950,60,"yes","Republican","Yes","In person on election day"
"951",951,73,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
"952",952,67,"yes","Democrat","Yes","Voted by mail or absentee"
"953",953,39,"yes","Democrat","Yes","In person on election day"
"954",954,59,"NAorMissing","Democrat","Yes","Dontknow_skipped_notasked"
